"Reporting month";"Sales Month";"Platform";"Country / Region";"Label Name";"Artist Name";"Release title";"Track title";;;"Release Catalog nb";"Product";"Sales Type";"Quantity";"Client Payment Currency";"Net Revenue"
"2019-07-01";"2019-07-01";"iTunes Match";"Belgium";"Label";"Band";"Album";"Song 6 ";;;;;"Stream";1;"EUR";0.000321787378
"2019-07-01";"2019-07-01";"iTunes Match";"United states";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";5;"EUR";0.001316963339
"2019-07-01";"2019-06-01";"Spotify Stream";"Japan";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";8;"EUR";0.02956231746
"2019-07-01";"2019-06-01";"Spotify Stream";"Chile";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";11;"EUR";0.00799543017
"2019-07-01";"2019-06-01";"Spotify Stream";"Lithuania";"Label";"Band";"Album";"Song 6 ";;;;;"Stream";8;"EUR";0.00839367174
"2019-07-01";"2019-06-01";"Spotify Stream";"Latvia";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";4;"EUR";0.00597051117
"2019-07-01";"2019-06-01";"Spotify Stream";"Estonia";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";6;"EUR";0.01035033597
"2019-07-01";"2019-06-01";"Spotify Stream";"Netherlands";"Label";"Band";"Album";"Song 6 ";;;;;"Stream";47;"EUR";0.126330987808
"2019-07-01";"2019-06-01";"Spotify Stream";"Greece";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";12;"EUR";0.018210794039
"2019-07-01";"2019-06-01";"Spotify Stream";"Lithuania";"Label";"Band";"Album";"Song 3 ";;;;;"Stream";5;"EUR";0.00564502494
"2019-07-01";"2019-06-01";"Google Sub";"Ukraine";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";1;"EUR";0.0009699462
"2019-07-01";"2019-06-01";"Google Sub";"Ukraine";"Label";"Band";"Album";"Song 2 ";;;;;"Stream";2;"EUR";0.001939892398
"2019-07-01";"2019-06-01";"Google Sub";"Canada";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";1;"EUR";0.002607118784
"2019-07-01";"2019-06-01";"Google Sub";"Canada";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";1;"EUR";0.002607118784
"2019-07-01";"2019-06-01";"UMA (Vkontakte)";"Russian federation";"Label";"Band";"Album";"Song 3 ";;;;;"Stream";11;"EUR";0.004138917603
"2019-07-01";"2019-04-01";"Rhapsody / Napster";"France";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";0.008786547123
"2019-07-01";"2019-05-01";"Deezer";"Oman";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.007162888473
"2019-07-01";"2019-05-01";"Deezer";"Finland";"Label";"Band";"Album";"Song 3 ";;;;;"Stream";4;"EUR";0.032903118823
"2019-07-01";"2019-06-01";"Spotify Stream";"Turkey";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";3;"EUR";0.00197767089
"2019-07-01";"2019-06-01";"Spotify Stream";"Colombia";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";4;"EUR";0.00604775808
"2019-07-01";"2019-06-01";"Spotify Stream";"Singapore";"Label";"Band";"Album";"Song 3 ";;;;;"Stream";10;"EUR";0.019086744
"2019-07-01";"2019-06-01";"Spotify Stream";"Canada";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";10;"EUR";0.01937997477
"2019-07-01";"2019-06-01";"Spotify Stream";"Latvia";"Label";"Band";"Album";"Song 2 ";;;;;"Stream";3;"EUR";0.00700396983
"2019-07-01";"2019-06-01";"Spotify Stream";"Sweden";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";67;"EUR";0.198607835369
"2019-07-01";"2019-06-01";"Spotify Stream";"Iceland";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";1;"EUR";0.00505104795
"2019-07-01";"2019-06-01";"Spotify Stream";"Ecuador";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";1;"EUR";0.00105370785
"2019-07-01";"2019-06-01";"Spotify Stream";"Colombia";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";2;"EUR";0.00165593376
"2019-07-01";"2019-06-01";"Spotify Stream";"Guatemala";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";1;"EUR";0.00082646694
"2019-07-01";"2019-06-01";"Spotify Stream";"India";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";1;"EUR";0.00078596856
"2019-07-01";"2019-06-01";"Spotify Stream";"El salvador";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";1;"EUR";0.00092396304
"2019-07-01";"2019-07-01";"YouTube Red";"Austria";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.008441321274
"2019-07-01";"2019-07-01";"YouTube Red";"Germany";"Label";"Band";"Album";;;;;;"Stream";4;"EUR";0.025948591448
"2019-07-01";"2019-07-01";"YouTube Red";"Colombia";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";3;"EUR";0.002240925337
"2019-07-01";"2019-07-01";"YouTube Red";"Ireland";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";1;"EUR";0.005683914751
"2019-07-01";"2019-07-01";"YouTube Red";"Germany";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";0.01549246921
"2019-07-01";"2019-07-01";"YouTube Red";"Italy";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";2;"EUR";0.005783540564
"2019-07-01";"2019-07-01";"YouTube Red";"Sweden";"Label";"Band";"Song 3";;;;;;"Stream";2;"EUR";0.024024895667
"2019-07-01";"2019-07-01";"YouTube Red";"South africa";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";4;"EUR";0.009203589822
"2019-07-01";"2019-07-01";"YouTube Official Music Content";"Malta";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";1;"EUR";0.001365266885
"2019-07-01";"2019-05-01";"Deezer";"Finland";"Label";"Band";"Album";"Song 2 ";;;;;"Stream";4;"EUR";0.026732710649
"2019-07-01";"2019-07-01";"Apple Music";"Japan";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";1;"EUR";0.007246288463
"2019-07-01";"2019-07-01";"Apple Music";"Germany";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";15;"EUR";0.05930612766
"2019-07-01";"2019-07-01";"Apple Music";"United states";"Label";"Band";"Album";"Song 6 ";;;;;"Stream";33;"EUR";0.176535739231
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Belgium";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.001017887409
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Canada";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";1072;"EUR";1.611569412608
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Russian federation";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";714;"EUR";0.067141254407
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Morocco";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";17;"EUR";0.006626427238
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Portugal";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";239;"EUR";0.093101630081
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Ireland";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";11;"EUR";0.007222871178
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Estonia";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";77;"EUR";0.015493123594
"2019-07-01";"2019-06-01";"Spotify Stream";"Austria";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";21;"EUR";0.05418607497
"2019-07-01";"2019-06-01";"Spotify Stream";"Australia";"Label";"Band";"Album";"Song 2 ";;;;;"Stream";23;"EUR";0.059752314812
"2019-07-01";"2019-06-01";"Spotify Stream";"Netherlands";"Label";"Band";"Album";"Song 3 ";;;;;"Stream";32;"EUR";0.097624382369
"2019-07-01";"2019-07-01";"Apple Music";"Sweden";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";1;"EUR";0.012523036556
"2019-07-01";"2019-07-01";"Apple Music";"Canada";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";5;"EUR";0.021260488788
"2019-07-01";"2019-07-01";"iTunes";"United states";"Label";"Band";"Album";;;;;;"Download";1;"EUR";3.435638333719
"2019-07-01";"2019-07-01";"iTunes Match";"United states";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";4;"EUR";0.001053570671
"2019-07-01";"2019-06-01";"Spotify Stream";"Austria";"Label";"Band";"Album";"Song 2 ";;;;;"Stream";25;"EUR";0.064415710769
"2019-07-01";"2019-06-01";"Spotify Stream";"Singapore";"Label";"Band";"Album";"Song 2 ";;;;;"Stream";1;"EUR";0.00289938402
"2019-07-01";"2019-06-01";"Spotify Stream";"Poland";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";67;"EUR";0.07485974799
"2019-07-01";"2019-06-01";"Spotify Stream";"Sweden";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";158;"EUR";0.484317246535
"2019-07-01";"2019-06-01";"Spotify Stream";"Greece";"Label";"Band";"Album";"Song 2 ";;;;;"Stream";16;"EUR";0.024672492061
"2019-07-01";"2019-06-01";"Spotify Stream";"Bolivia";"Label";"Band";"Album";"Song 3 ";;;;;"Stream";2;"EUR";0.00161918523
"2019-07-01";"2019-06-01";"Spotify Stream";"Canada";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";172;"EUR";0.313996944621
"2019-07-01";"2019-06-01";"Spotify Stream";"Ecuador";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";1;"EUR";0.00105370785
"2019-07-01";"2019-06-01";"Google Sub";"United states";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";20;"EUR";0.073435668707
"2019-07-01";"2019-06-01";"Spotify Stream";"Brazil";"Label";"Band";"Album";"Song 3 ";;;;;"Stream";27;"EUR";0.054393839159
"2019-07-01";"2019-06-01";"Google Sub";"Finland";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";10;"EUR";0.07579271817
"2019-07-01";"2019-06-01";"Google Sub";"Ukraine";"Label";"Band";"Album";"Song 3 ";;;;;"Stream";1;"EUR";0.0009699462
"2019-07-01";"2019-06-01";"Google Sub";"Finland";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";3;"EUR";0.022737815451
"2019-07-01";"2019-06-01";"Google Sub";"Italy";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";1;"EUR";0.005084714103
"2019-07-01";"2019-06-01";"Google Sub";"Ukraine";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";2;"EUR";0.001939892398
"2019-07-01";"2019-06-01";"Google Sub";"Sweden";"Label";"Band";"Album";"Song 6 ";;;;;"Stream";1;"EUR";0.006367225679
"2019-07-01";"2019-06-01";"Google Sub";"Switzerland";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";1;"EUR";0.005643424652
"2019-07-01";"2019-06-01";"UMA (Vkontakte)";"Russian federation";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";307;"EUR";0.035355688425
"2019-07-01";"2019-06-01";"UMA (Vkontakte)";"Russian federation";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";6;"EUR";0.000880559674
"2019-07-01";"2019-06-01";"UMA (Vkontakte)";"Kazakhstan";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";7;"EUR";0.000894448149
"2019-07-01";"2019-06-01";"Spotify Stream";"Italy";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";18;"EUR";0.0214641414
"2019-07-01";"2019-06-01";"Spotify Stream";"Austria";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";15;"EUR";0.03951517683
"2019-07-01";"2019-06-01";"Spotify Stream";"Brazil";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";27;"EUR";0.041386359479
"2019-07-01";"2019-06-01";"Spotify Stream";"Israel";"Label";"Band";"Album";"Song 2 ";;;;;"Stream";1;"EUR";0.0026473941
"2019-07-01";"2019-06-01";"Spotify Stream";"Slovakia";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";22;"EUR";0.04999375017
"2019-07-01";"2019-06-01";"Spotify Stream";"Peru";"Label";"Band";"Album";"Song 2 ";;;;;"Stream";2;"EUR";0.00018824247
"2019-07-01";"2019-07-01";"Apple Music";"Italy";"Label";"Band";"Album";"Song 6 ";;;;;"Stream";1;"EUR";0.00915338385
"2019-07-01";"2019-07-01";"Apple Music";"Germany";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";12;"EUR";0.04397374098
"2019-07-01";"2019-07-01";"Apple Music";"Finland";"Label";"Band";"Album";"Song 2 ";;;;;"Stream";14;"EUR";0.13918993218
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Australia";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.003734001653
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Italy";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";5;"EUR";0.007121934697
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Brazil";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";1640;"EUR";0.495542734539
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Ukraine";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";27;"EUR";0.003055628526
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Slovakia";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";17;"EUR";0.000857306461
"2019-07-01";"2019-06-01";"Spotify Stream";"New zealand";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";1;"EUR";0.00402433902
"2019-07-01";"2019-06-01";"Spotify Stream";"Austria";"Label";"Band";"Album";"Song 3 ";;;;;"Stream";15;"EUR";0.03699901998
"2019-07-01";"2019-06-01";"Spotify Stream";"Taiwan";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";4;"EUR";0.00353385864
"2019-07-01";"2019-06-01";"Spotify Stream";"Italy";"Label";"Band";"Album";"Song 2 ";;;;;"Stream";34;"EUR";0.03994715205
"2019-07-01";"2019-06-01";"Spotify Stream";"France";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";29;"EUR";0.05986785519
"2019-07-01";"2019-07-01";"Apple Music";"Sweden";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";4;"EUR";0.035560946354
"2019-07-01";"2019-07-01";"Apple Music";"Belgium";"Label";"Band";"Album";"Song 6 ";;;;;"Stream";2;"EUR";0.00894264228
"2019-07-01";"2019-07-01";"iTunes Match";"Belgium";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.000321787378
"2019-07-01";"2019-07-01";"iTunes";"Switzerland";"Label";"Band";"Album";;;;;;"Download";1;"EUR";3.998189159036
"2019-07-01";"2019-06-01";"Spotify Stream";"Spain";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";34;"EUR";0.069736005448
"2019-07-01";"2019-06-01";"Spotify Stream";"Finland";"Label";"Band";"Album";"Song 2 ";;;;;"Stream";913;"EUR";3.412604436863
"2019-07-01";"2019-06-01";"Spotify Stream";"Australia";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";6;"EUR";0.01787778486
"2019-07-01";"2019-06-01";"Spotify Stream";"Norway";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";4;"EUR";0.01663134222
"2019-07-01";"2019-06-01";"Spotify Stream";"Canada";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";37;"EUR";0.06842351295
"2019-07-01";"2019-06-01";"Spotify Stream";"Czech republic";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";2;"EUR";0.00255589776
"2019-07-01";"2019-06-01";"Spotify Stream";"Poland";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";132;"EUR";0.152567708048
"2019-07-01";"2019-06-01";"Spotify Stream";"Portugal";"Label";"Band";"Album";"Song 3 ";;;;;"Stream";18;"EUR";0.02127365652
"2019-07-01";"2019-06-01";"Spotify Stream";"Kuwait";"Label";"Band";"Album";"Song 3 ";;;;;"Stream";1;"EUR";0.00243215271
"2019-07-01";"2019-06-01";"Spotify Stream";"Finland";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";2128;"EUR";6.526842886341
"2019-07-01";"2019-06-01";"Spotify Stream";"Taiwan";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";4;"EUR";0.00353385864
"2019-07-01";"2019-06-01";"Google Sub";"Russian federation";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";5;"EUR";0.008150868382
"2019-07-01";"2019-06-01";"Google Sub";"United states";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";21;"EUR";0.077107452143
"2019-07-01";"2019-06-01";"Google Sub";"United states";"Label";"Band";"Album";"Song 6 ";;;;;"Stream";21;"EUR";0.077107452142
"2019-07-01";"2019-06-01";"Google Sub";"Sweden";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";1;"EUR";0.006367225679
"2019-07-01";"2019-06-01";"Google Sub";"Poland";"Label";"Band";"Album";"Song 2 ";;;;;"Stream";1;"EUR";0.002789754686
"2019-07-01";"2019-06-01";"Google Sub";"Sweden";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";1;"EUR";0.006367225679
"2019-07-01";"2019-06-01";"Google Locker";"Finland";"Label";"Band";"Album";"Song 3 ";;;;;"Stream";1;"EUR";0.000337670826
"2019-07-01";"2019-05-01";"Deezer";"France";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";2;"EUR";0.006419772449
"2019-07-01";"2019-06-01";"UMA (Vkontakte)";"Belarus";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";12;"EUR";0.000166661698
"2019-07-01";"2019-06-01";"Spotify Stream";"United states";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";765;"EUR";1.948871614518
"2019-07-01";"2019-06-01";"Spotify Stream";"Mexico";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";12;"EUR";0.00858265518
"2019-07-01";"2019-06-01";"Spotify Stream";"Estonia";"Label";"Band";"Album";"Song 6 ";;;;;"Stream";2;"EUR";0.0032548698
"2019-07-01";"2019-06-01";"Spotify Stream";"France";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";6;"EUR";0.01708957389
"2019-07-01";"2019-06-01";"Spotify Stream";"Australia";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";14;"EUR";0.03723076071
"2019-07-01";"2019-06-01";"Spotify Stream";"Taiwan";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";4;"EUR";0.00353385864
"2019-07-01";"2019-06-01";"Spotify Stream";"Brazil";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";10;"EUR";0.018002294879
"2019-07-01";"2019-06-01";"Spotify Stream";"Costa rica";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";5;"EUR";0.00489880404
"2019-07-01";"2019-06-01";"Spotify Stream";"Paraguay";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";3;"EUR";0.00269689212
"2019-07-01";"2019-06-01";"Spotify Stream";"Norway";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";16;"EUR";0.060289315831
"2019-07-01";"2019-06-01";"Spotify Stream";"Greece";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";2;"EUR";0.00263464461
"2019-07-01";"2019-06-01";"Spotify Stream";"Iceland";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";1;"EUR";0.0029698812
"2019-07-01";"2019-06-01";"Spotify Stream";"Czech republic";"Label";"Band";"Album";"Song 3 ";;;;;"Stream";2;"EUR";0.00255589776
"2019-07-01";"2019-07-01";"YouTube Red";"United kingdom";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";14;"EUR";0.107022373246
"2019-07-01";"2019-07-01";"YouTube Red";"New zealand";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";3;"EUR";0.025409825542
"2019-07-01";"2019-07-01";"YouTube Red";"United states";"Label";"Band";"Album";;;;;;"Stream";2;"EUR";0.019294635892
"2019-07-01";"2019-07-01";"Apple Music";"Portugal";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";1;"EUR";0.00359160633
"2019-07-01";"2019-07-01";"Apple Music";"Russian federation";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";8;"EUR";0.010733391146
"2019-07-01";"2019-07-01";"Apple Music";"Germany";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";33;"EUR";0.16992145287
"2019-07-01";"2019-07-01";"Apple Music";"Belgium";"Label";"Band";"Album";"Song 2 ";;;;;"Stream";3;"EUR";0.01795353183
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Canada";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";0.001533057727
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Spain";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";1;"EUR";0.000112079039
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Romania";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";14;"EUR";0.00152715883
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Viet nam";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";8;"EUR";0.001848320987
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Puerto rico";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";19;"EUR";0.009098720416
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Indonesia";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";196;"EUR";0.021001384341
"2019-07-01";"2019-07-01";"Youtube Audio Fingerprint";"Luxembourg";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";6;"EUR";0.002252067699
"2019-07-01";"2019-06-01";"Spotify Stream";"Mexico";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";20;"EUR";0.01879949649
"2019-07-01";"2019-07-01";"YouTube Official Music Content";"Sweden";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";3;"EUR";0.001890268697
"2019-07-01";"2019-06-01";"Spotify Stream";"Norway";"Label";"Band";"Album";"Song 3 ";;;;;"Stream";17;"EUR";0.063666468239
"2019-07-01";"2019-06-01";"Spotify Stream";"El salvador";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";2;"EUR";0.0010199592
"2019-07-01";"2019-06-01";"Spotify Stream";"Poland";"Label";"Band";"Album";"Song 3 ";;;;;"Stream";66;"EUR";0.072984815491
"2019-07-01";"2019-06-01";"Spotify Stream";"Turkey";"Label";"Band";"Album";"Song 7 ";;;;;"Stream";3;"EUR";0.00197767089
"2019-07-01";"2019-06-01";"Spotify Stream";"United kingdom";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";40;"EUR";0.116271561452
"2019-07-01";"2019-07-01";"Apple Music";"Canada";"Label";"Band";"Album";"Song 6 ";;;;;"Stream";5;"EUR";0.017094434394
"2019-07-01";"2019-06-01";"Google Sub";"Germany";"Label";"Band";"Album";"Song 6 ";;;;;"Stream";2;"EUR";0.009159908589
"2019-07-01";"2019-07-01";"Apple Music";"Belgium";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";2;"EUR";0.00894264228
"2019-07-01";"2019-07-01";"iTunes Match";"United states";"Label";"Band";"Album";"Song 6 ";;;;;"Stream";4;"EUR";0.001053570671
"2019-07-01";"2019-05-01";"Deezer";"Finland";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";4;"EUR";0.032903118823
"2019-07-01";"2019-06-01";"Spotify Stream";"Italy";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";0.0023849046
"2019-07-01";"2019-06-01";"Spotify Stream";"Belgium";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";9;"EUR";0.025060232551
"2019-07-01";"2019-06-01";"Spotify Stream";"Guatemala";"Label";"Band";"Album";"Song 3 ";;;;;"Stream";5;"EUR";0.00341086356
"2019-07-01";"2019-06-01";"Google Sub";"Russian federation";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";3;"EUR";0.004890521029
"2019-07-01";"2019-06-01";"Google Sub";"Russian federation";"Label";"Band";"Album";"Song 3 ";;;;;"Stream";10;"EUR";0.016301736764
"2019-07-01";"2019-06-01";"Google Sub";"Finland";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";4;"EUR";0.030317087268
"2019-07-01";"2019-06-01";"Google Sub";"Mexico";"Label";"Band";"Album";"Song 3 ";;;;;"Stream";1;"EUR";0.001667908454
"2019-07-01";"2019-06-01";"Google Sub";"Canada";"Label";"Band";"Album";"Song 6 ";;;;;"Stream";1;"EUR";0.002607118784
"2019-07-01";"2019-06-01";"Google Sub";"Poland";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";1;"EUR";0.002789754686
"2019-07-01";"2019-06-01";"UMA (Vkontakte)";"Ukraine";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";3;"EUR";0.000838894249
"2019-07-01";"2019-06-01";"UMA (Vkontakte)";"Russian federation";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";270;"EUR";0.026869525971
"2019-07-01";"2019-06-01";"Amazon DE";"Germany";"Label";"Band";"Album";"Song 1 ";;;;;"Download";1;"EUR";0.5024799
"2019-07-01";"2019-06-01";"UMA (Vkontakte)";"Belarus";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";40;"EUR";0.002149996643
"2019-07-01";"2019-06-01";"UMA (Vkontakte)";"Belarus";"Label";"Band";"Album";"Song 6 ";;;;;"Stream";5;"EUR";6.9442374E-05
"2019-07-01";"2019-06-01";"Spotify Stream";"Austria";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";2;"EUR";0.00353010879
"2019-07-01";"2019-06-01";"Spotify Stream";"Czech republic";"Label";"Band";"Album";"Song 1 ";;;;;"Stream";8;"EUR";0.00891413592
"2019-07-01";"2019-06-01";"Spotify Stream";"Poland";"Label";"Band";"Album";"Song 6 ";;;;;"Stream";79;"EUR";0.08454263316
"2019-07-01";"2019-06-01";"Spotify Stream";"Italy";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";21;"EUR";0.0250414983
"2019-07-01";"2019-06-01";"Spotify Stream";"Austria";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";2;"EUR";0.00650073996
"2019-07-01";"2019-06-01";"Spotify Stream";"Mexico";"Label";"Band";"Album";"Song 2 ";;;;;"Stream";15;"EUR";0.01345896012
"2019-07-01";"2019-06-01";"Spotify Stream";"Norway";"Label";"Band";"Album";"Song 4 ";;;;;"Stream";22;"EUR";0.08305242777
"2019-07-01";"2019-06-01";"Spotify Stream";"Brazil";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.00220266189
"2019-07-01";"2019-06-01";"Spotify Stream";"Philippines";"Label";"Band";"Album";"Song 6 ";;;;;"Stream";1;"EUR";0.00045148194
"2019-07-01";"2019-06-01";"Spotify Stream";"Estonia";"Label";"Band";"Song 4";"Song 4 ";;;;;"Stream";4;"EUR";0.00966035607
"2019-07-01";"2019-06-01";"Spotify Stream";"Japan";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";5;"EUR";0.01847626092
"2019-07-01";"2019-07-01";"YouTube Red";"Argentina";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";1;"EUR";0.00068099486
"2019-07-01";"2019-07-01";"YouTube Red";"Spain";"Label";"Band";"Album";"Song 5 ";;;;;"Stream";3;"EUR";0.012895643765
"2019-07-01";"2019-07-01";"YouTube Red";"Russian federation";"Label";"Band";"Song 3";"Song 3 ";;;;;"Stream";1;"EUR";0.004933443996
